Empleado 1:
 Codigo empleado: 1 
 Nombre: Pere 
Dirección: Fuencarral 
 Salario: 1500,00 
 Comisión: 55,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Tomeu 
Dirección: Plaza de España 
 Salario: 1200,00 
 Comisión: 10,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Miquel 
Dirección: Fuencarral 
 Salario: 1500,00 
 Comisión: 30,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Joan 
Dirección: Plaza de España 
 Salario: 1500,00 
 Comisión: 10,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Miquel 
Dirección: Calle Juan Carlos I 
 Salario: 3000,00 
 Comisión: 20,00 
Empleado 1:
 Codigo empleado: 1 
 Nombre: Pere 
Dirección: Calle Santa Sabina 
 Salario: 1100,00 
 Comisión: 20,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Andreu 
Dirección: Fuencarral 
 Salario: 1500,00 
 Comisión: 20,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Pere 
Dirección: Calle falsa 123 
 Salario: 1300,00 
 Comisión: 20,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Tomeu 
Dirección: Fuencarral 
 Salario: 2200,00 
 Comisión: 40,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Miquel 
Dirección: Fuencarral 
 Salario: 1300,00 
 Comisión: 40,00 
Empleado 1:
 Codigo empleado: 1 
 Nombre: Juanito 
Dirección: Plaza de España 
 Salario: 2200,00 
 Comisión: 10,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Joan 
Dirección: Calle falsa 123 
 Salario: 1200,00 
 Comisión: 30,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Miquel 
Dirección: Plaza de España 
 Salario: 1400,00 
 Comisión: 25,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Tomeu 
Dirección: Calle falsa 123 
 Salario: 2000,00 
 Comisión: 30,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Juanito 
Dirección: Calle Juan Carlos I 
 Salario: 1400,00 
 Comisión: 33,00 
