Empleado 1:
 Codigo empleado: 1 
 Nombre: Juanito 
Dirección: Plaza de España 
 Salario: 2000,00 
 Comisión: 33,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Pere 
Dirección: Fuencarral 
 Salario: 1500,00 
 Comisión: 33,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Pere 
Dirección: Plaza de España 
 Salario: 1000,00 
 Comisión: 10,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Pere 
Dirección: Fuencarral 
 Salario: 3000,00 
 Comisión: 40,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Miquel 
Dirección: Calle Juan Carlos I 
 Salario: 1000,00 
 Comisión: 30,00 
